0,1,2,3,activation
-1,-1,-1,-1,5.903680324554443
-1,-1,-1,1,-0.6911182999610901
-1,-1,1,-1,-0.6911182999610901
-1,-1,1,1,5.905647277832031
-1,1,-1,-1,-0.6911182999610901
-1,1,-1,1,-0.6911182999610901
-1,1,1,-1,-0.6911182999610901
-1,1,1,1,-0.6911182999610901
1,-1,-1,-1,-0.6911182999610901
1,-1,-1,1,-0.6911182999610901
1,-1,1,-1,-0.6911182999610901
1,-1,1,1,-0.6911182999610901
1,1,-1,-1,5.904576301574707
1,1,-1,1,-0.6911182999610901
1,1,1,-1,-0.6911182999610901
1,1,1,1,5.905965805053711
